Mexico;Verde, Blanco y Rojo;-;-;-;-;Montaña Popocatepetl,Sierra Madre;Monstruo de Gila;Aztecas,Mayas,Toltecas;Joyas de Yucatan;-;-;-
Moroni;Verde y Blanco;-;Francos;Perfume;Islas,Volcanes;Montaña Karthala;Autillo de Anjouan;-;-;-;-;-
Moscu;Rojo;Ruso,Uraliano;Rublos;-;-;Lago Ladoga,Montes Urales;-;Ivan el Terrible;-;-;-;Moldavia,Pais Mas Grande del Mundo
Nueva Delhi;Rojo, Blanco y Verde;-;Rupias;-;-;-;Víbora de Escamas de Sierra;-;-;Sij;Primer Ministro;-
Nueva York;Rojo, Blanco y Azul;-;Dolares;Moda,Bolsa;-;Tumba de Grant,Río Hudson,Naciones Unidas,Centro de Comercio Mundial;-;Henry Hudson;-;-;-;Subterraneos
Oslo;Cruz Roja y Azul;-;-;Hidroelectricidad;-;Mar de Barents;-;Vikingos;-;-;Rey;Esquí Nordico
Paris;Rojo, Blanco y Azul;-;Francos;Moda;-;Sienne;-;-;-;-;-;-
Peking;Rojo;-;Yuans;-;-;Ciudad Prohibida,Mar Amarillo;Panda Gigante;-;-;-;-;Dinastía Shang,Levantamiento de Wuchang
Puerto Moresby;Amarillo, Rojo y Negro;-;Kinas;Oro;Volcanes;Montaña Karkar,Montaña Manam;-;Taipans;-;-;Primer Ministro;Nueva Irlanda
Reikiavik;Rojo y Azul;-;Corona islandesa;Pescado;Aguas termales,Volcanes;-;-;-;-;-;-;Nación Insular
Rio de Janeiro;Verde, Azul y Amarillo;Portugues;Cruzeiros;Cafe,Diamantes,Titanio;-;Rio Amazonas;Bushmaster,Periquito Dorado,Guacamayo Indigo,Puercoespín de Espinas Finas;-;-;-;Presidente;-
Roma;Verde, Blanco y Rojo;Italiano;Lira;Texil;-;Coliseo,Foro Romano,Monte Etna,Mar Tirreno;-;Etruscos;Renacimiento;-;Presidente;-
San Marino;Azul y Blanco;Italiano;-;Ceramica,Sellos;-;Monte Titano;-;-;-;-;-;República Serena,Estado Más Antiguo de Europa,Vecinos de Italia
Singapur;Rojo y Blanco;-;-;Caucho;-;Hotel Raffles,Mar de la China Meridional,Estrecho de Malaca;Pez Piedra;-;Malayo;-;-;Antigua Colonia Britanica
Sidney;Rojo, Blanco y Azul;-;-;Lana;-;Gran Desierto Arenoso,Teatro de Opera,Outback;Oso Koala,Sarpiente Tigre,Wallaby,Wombat;Aborigenes,Capitan Cook;-;-;-;-
Tokyo;Rojo y Blanco;-;Yen;Automobiles;-;Monte Fuji;-;Shoguns;-;Sintoismo;-;-
